"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",3,0,41
"25",3,0.5,57
"26",3,1,42
"27",3,1.5,34
"28",3,2,17
"29",3,2.5,23
"30",3,3,14
"31",3,3.5,10
"32",3,4,10
"33",3,4.5,6
"34",3,5,11
"35",3,5.5,5
"36",3,6,10
"37",3,6.5,5
"38",3,7,5
"39",3,7.5,4
"40",3,8,2
"41",3,8.5,2
"42",3,9,2
"43",3,9.5,0
"44",3,10,3
"45",3,10.5,2
"46",3,11,1
"47",3,11.5,1
"48",3,12,0
"49",3,12.5,2
"50",4,0,49
"51",4,0.5,65
"52",4,1,57
"53",4,1.5,39
"54",4,2,28
"55",4,2.5,16
"56",4,3,16
"57",4,3.5,20
"58",4,4,12
"59",4,4.5,13
"60",4,5,10
"61",4,5.5,12
"62",4,6,9
"63",4,6.5,6
"64",4,7,4
"65",4,7.5,5
"66",4,8,3
"67",4,8.5,3
"68",4,9,4
"69",4,9.5,1
"70",4,10,2
"71",4,10.5,2
"72",4,11,1
"73",4,11.5,0
"74",4,12,0
"75",4,12.5,0
"76",4,13,1
"77",5,0,46
"78",5,0.5,53
"79",5,1,42
"80",5,1.5,39
"81",5,2,17
"82",5,2.5,19
"83",5,3,11
"84",5,3.5,14
"85",5,4,6
"86",5,4.5,10
"87",5,5,8
"88",5,5.5,5
"89",5,6,11
"90",5,6.5,10
"91",5,7,6
"92",5,7.5,2
"93",5,8,6
"94",5,8.5,2
"95",5,9,0
"96",5,9.5,1
"97",5,10,2
"98",5,10.5,0
"99",5,11,0
"100",5,11.5,1
"101",5,12,0
"102",5,12.5,0
"103",5,13,0
"104",5,13.5,1
"105",6,0,31
"106",6,0.5,71
"107",6,1,50
"108",6,1.5,34
"109",6,2,29
"110",6,2.5,19
"111",6,3,19
"112",6,3.5,10
"113",6,4,9
"114",6,4.5,18
"115",6,5,9
"116",6,5.5,10
"117",6,6,4
"118",6,6.5,5
"119",6,7,4
"120",6,7.5,3
"121",6,8,4
"122",6,8.5,3
"123",6,9,4
"124",6,9.5,0
"125",6,10,1
"126",6,10.5,1
"127",6,11,0
"128",6,11.5,1
"129",6,12,0
"130",6,12.5,0
"131",6,13,0
"132",6,13.5,1
"133",7,0,61
"134",7,0.5,74
"135",7,1,50
"136",7,1.5,33
"137",7,2,28
"138",7,2.5,24
"139",7,3,12
"140",7,3.5,10
"141",7,4,11
"142",7,4.5,8
"143",7,5,7
"144",7,5.5,9
"145",7,6,14
"146",7,6.5,9
"147",7,7,8
"148",7,7.5,8
"149",7,8,2
"150",7,8.5,1
"151",7,9,2
"152",7,9.5,2
"153",7,10,5
"154",7,10.5,1
"155",7,11,1
"156",7,11.5,0
"157",7,12,0
"158",7,12.5,0
"159",7,13,1
"160",8,0,42
"161",8,0.5,73
"162",8,1,48
"163",8,1.5,36
"164",8,2,16
"165",8,2.5,25
"166",8,3,21
"167",8,3.5,5
"168",8,4,5
"169",8,4.5,14
"170",8,5,9
"171",8,5.5,7
"172",8,6,7
"173",8,6.5,5
"174",8,7,6
"175",8,7.5,2
"176",8,8,2
"177",8,8.5,2
"178",8,9,3
"179",8,9.5,2
"180",8,10,0
"181",8,10.5,0
"182",8,11,0
"183",8,11.5,0
"184",8,12,3
"185",8,12.5,1
"186",9,0,49
"187",9,0.5,63
"188",9,1,59
"189",9,1.5,35
"190",9,2,22
"191",9,2.5,31
"192",9,3,10
"193",9,3.5,11
"194",9,4,10
"195",9,4.5,9
"196",9,5,11
"197",9,5.5,3
"198",9,6,9
"199",9,6.5,7
"200",9,7,3
"201",9,7.5,2
"202",9,8,2
"203",9,8.5,2
"204",9,9,0
"205",9,9.5,1
"206",9,10,0
"207",9,10.5,1
"208",9,11,4
"209",9,11.5,1
"210",9,12,0
"211",9,12.5,0
"212",9,13,0
"213",9,13.5,1
"214",10,0,42
"215",10,0.5,67
"216",10,1,63
"217",10,1.5,34
"218",10,2,19
"219",10,2.5,22
"220",10,3,15
"221",10,3.5,13
"222",10,4,7
"223",10,4.5,12
"224",10,5,9
"225",10,5.5,13
"226",10,6,6
"227",10,6.5,8
"228",10,7,4
"229",10,7.5,7
"230",10,8,1
"231",10,8.5,5
"232",10,9,5
"233",10,9.5,2
"234",10,10,2
"235",10,10.5,0
"236",10,11,1
"237",10,11.5,2
"238",10,12,1
